Alias;Канонический key;Название города в UI;canonical_city_id;region;region_id;country;Район
пос.Шексна;Sheksna;Шексна;667;Вологодская Область;36;Россия;Шекснинский
поселок Ермаково;Ermakovo;Ермаково;167;Вологодская Область;36;Россия;Вологодский
посёлок кирпичный;Kirpichnyy;Кирпичный;241;Вологодская Область;36;Россия;Грязовецкий
поселок Красный Бор;Krasnyy Bor;Красный Бор;293;Ярославская Область;77;Россия;
посёлок Солнцево;Solntsevo;Солнцево;552;Курская Область;47;Россия;
Поселок Уемский;Uemskiy;Уемский;600;Архангельская Область;30;Россия;
Поселок Федотово;Fedotovo;Федотово;623;Вологодская Область;36;Россия;Вологодский
Посёлок Чайковского;Chaykovskogo;Чайковского;644;Московская Область;51;Россия;
Пошехонье;Poshekhone;Пошехонье;478;Ярославская Область;77;Россия;
Пречистое;Prechistoe;Пречистое;479;Ярославская Область;77;Россия;
Приводино;Privodino;Приводино;480;Архангельская Область;30;Россия;
Приволжск;Privolzhsk;Приволжск;481;Ивановская Область;38;Россия;
Приморский район, д. Хорьково;Khorkovo;Хорьково;640;Архангельская Область;30;Россия;
Приморский район,Архангельская обл, Россия;Khorkovo;Хорьково;640;Архангельская Область;30;Россия;
Приозерск;Priozersk;Приозерск;482;Ленинградская Область;48;Россия;
Пристень;Pristen;Пристень;483;Курская Область;47;Россия;
Прнчистое;Prnchistoe;Прнчистое;484;Ярославская Область;77;Россия;
Псков;Pskov;Псков;486;Псковская Область;61;Россия;
птг. Вохтога;Vokhtoga;Вохтога;111;Вологодская Область;36;Россия;Междуреченский
Пундуга;Punduga;Пундуга;487;Вологодская Область;36;Россия;Харовский
Пушкино;Pushkino;Пушкино;489;Московская Область;51;Россия;
Пущино;Puschino;Пущино;490;Московская Область;51;Россия;
Р.П. Большое Козино;Bolshoe Kozino;Большое Козино;63;Нижегородская Область;53;Россия;
р.п. Кадуй;Kaduy;Кадуй;213;Вологодская Область;36;Россия;Кадуйский
Р.п.Красные Ткачи;Krasnye Tkachi;Красные Ткачи;292;Ярославская Область;77;Россия;
Радужный;Raduzhnyy;Радужный;491;Владимирская Область;34;Россия;
Радужный, Владимирская обл;Raduzhnyy;Радужный;491;Владимирская Область;34;Россия;
Ревда;Revda;Ревда;493;Свердловская Область;67;Россия;
Редкино;Redkino;Редкино;494;Тверская Область;70;Россия;
Реутов;Reutov;Реутов;495;Московская Область;51;Россия;
Родники;Rodniki;Родники;497;Ивановская Область;38;Россия;
Рослятино;Roslyatino;Рослятино;498;Вологодская Область;36;Россия;Бабушкинский
Россия, Ярославская область, Ярославль;Yaroslavl;Ярославль;695;Ярославская Область;77;Россия;
Ростилово;Rostilovo;Ростилово;499;Вологодская Область;36;Россия;Грязовецкий
Ростов;Rostov Velikiy;Ростов Великий;500;Ярославская Область;77;Россия;
Ростов Великий;Rostov Velikiy;Ростов Великий;500;Ярославская Область;77;Россия;
Ростовский район, село Ивакино;Ivakino;Ивакино;191;Ярославская Область;77;Россия;
Рошаль;Roshal;Рошаль;502;Московская Область;51;Россия;
Рощино;Roschino;Рощино;503;Ленинградская Область;48;Россия;
рп Кадуй;Kaduy;Кадуй;213;Вологодская Область;36;Россия;Кадуйский
рп Уральский;Uralskiy;Уральский;605;Пермский Край;60;Россия;
рп. Коноша;Konosha;Коноша;266;Архангельская Область;30;Россия;
рп. Шексна;Sheksna;Шексна;667;Вологодская Область;36;Россия;Шекснинский
рп.Пречистое;Prechistoe;Пречистое;479;Ярославская Область;77;Россия;
Рубцово;Rubtsovo;Рубцово;504;Вологодская Область;36;Россия;Вологодский
Рудничный;Rudnichnyy;Рудничный;505;Кировская Область;44;Россия;
Руза;Ruza;Руза;506;Московская Область;51;Россия;
Рыбинск;Rybinsk;Рыбинск;508;Ярославская Область;36;Россия;
Рыбинск, Рыбинский район, Ярославская обл;Rybinsk;Рыбинск;508;Ярославская Область;77;Россия;
Рыбинск, Ярославская обл;Rybinsk;Рыбинск;508;Ярославская Область;77;Россия;
Рыбинск, Ярославская область;Rybinsk;Рыбинск;508;Ярославская Область;77;Россия;
с Тарнога;s Tarnoga;с Тарнога;510;Вологодская Область;36;Россия;Тарногский
с. Благовещенское;Blagoveschenskoe;Благовещенское;56;Архангельская Область;30;Россия;
с. Благовещенское, Вельский р-н, Архангельская обл;Blagoveschenskoe;Благовещенское;56;Архангельская Область;30;Россия;
с. Вад;Vad;Вад;75;Нижегородская Область;53;Россия;
С. Верховажье;Verkhovazhe;Верховажье;85;Вологодская Область;36;Россия;Верховажский
с. Выльгорт;Vylgort;Выльгорт;117;Коми Республика;12;Россия;
с. Гамово;Gamovo;Гамово;130;Пермский Край;60;Россия;
с. Двинской Березник;Dvinskoy Bereznik;Двинской Березник;143;Архангельская Область;30;Россия;
С. Дмитриановское;Dmitrianovskoe;Дмитриановское;151;Ярославская Область;77;Россия;
с. Ижма;Izhma;Ижма;199;Республика Коми;116;Россия;
С. Им. Бабушкина;Im. Babushkina;Им. Бабушкина;203;Вологодская Область;36;Россия;Бабушкинский
с. Сямжа;Syamzha;Сямжа;571;Вологодская Область;36;Россия;Сямженский
с. Тарногский Городок;Tarnogskiy Gorodok;Тарногский Городок;577;Вологодская Область;36;Россия;Тарногский
с. Усть-Цильма;Ust-Tsilma;Усть-Цильма;616;Республика Коми;116;Россия;
С. Чуровское, Шекснинский район;Churovskoe;Чуровское;658;Вологодская Область;36;Россия;Шекснинский
с. Шилыково;Shilykovo;Шилыково;671;Ивановская Область;38;Россия;
С.Благовещенское;Blagoveschenskoe;Благовещенское;56;Архангельская Область;30;Россия;
с.Верховажье;Verkhovazhe;Верховажье;85;Вологодская Область;36;Россия;Верховажский
С.Карагай;Karagay;Карагай;225;Пермский Край;60;Россия;
с.Парфеньево;Parfenevo;Парфеньево;438;Костромская Область;45;Россия;
с.Сеченово;Sechenovo;Сеченово;535;Нижегородская Область;53;Россия;
с.Сямжа;Syamzha;Сямжа;571;Вологодская Область;36;Россия;Сямженский
С.Тазово;Tazovo;Тазово;573;Курская Область;47;Россия;
с.Чуровское;Churovskoe;Чуровское;658;Вологодская Область;36;Россия;Шекснинский
Салехард;Salekhard;Салехард;512;Ямало-Ненецкий Автономный округ;84;Россия;
Санкт-Петербург;Sankt-Peterburg;Санкт-Петербург;515;Санкт-Петербург;79;Россия;
Саров;Sarov;Саров;518;Нижегородская Область;53;Россия;
Саров, Нижегородская обл;Sarov;Саров;518;Нижегородская Область;53;Россия;
Сасово;Sasovo;Сасово;519;Рязанская Область;63;Россия;
Северная;Severnaya;Северная;521;Вологодская Область;36;Россия;Шекснинский
Северодвинск;Severodvinsk;Северодвинск;522;Архангельская Область;30;Россия;
"Северодвинск - АО""ПО"" Севмаш""";Severodvinsk;Северодвинск;522;Архангельская Область;30;Россия;
Североморск;Severomorsk;Североморск;523;Мурманская Область;52;Россия;
Сегежа;Segezha;Сегежа;524;Карелия Республика;11;Россия;
село Благовещенское;Blagoveschenskoe;Благовещенское;56;Архангельская Область;30;Россия;
Село высокое;Vysokoe;Высокое;121;Тульская Область;72;Россия;
Село Корткерос;Kortkeros;Корткерос;269;Республика Коми;116;Россия;
село Сямжа;selo Syamzha;село Сямжа;525;Вологодская Область;36;Россия;Сямженский
Село Чуровское, Шекснинский район;Churovskoe;Чуровское;658;Вологодская Область;36;Россия;Шекснинский
Селятино;Selyatino;Селятино;526;Московская Область;51;Россия;
Селятино Московская область;Selyatino;Селятино;526;Московская Область;51;Россия;
Семенково;Semenkovo;Семенково;527;Вологодская Область;36;Россия;Вологодский
Семёнково;Semenkovo;Семенково;527;Волгоградская Область;35;Россия;
Семибратово;Semibratovo;Семибратово;528;Ярославская Область;77;Россия;
Сенеж;Senezh;Сенеж;529;Московская Область;51;Россия;
Серпухов;Serpukhov;Серпухов;531;Московская Область;51;Россия;
Сестрорецк;Sestroretsk;Сестрорецк;533;Ленинградская Область;48;Россия;
Сеул;Seul;Сеул;534;Сеул;42;Корея, Республика;
Сива;Siva;Сива;536;Пермский Край;60;Россия;
Сидорово;Sidorovo;Сидорово;537;Вологодская Область;36;Россия;Грязовецкий
Сим;Sim;Сим;538;Челябинская Область;75;Россия;
Синдор;Sindor;Синдор;539;Коми Республика;12;Россия;
Сковде;Skovde;Сковде;540;Сковде;108;Швеция;
Скопин;Skopin;Скопин;541;Рязанская Область;63;Россия;
Слободской;Slobodskoy;Слободской;542;Кировская Область;44;Россия;
Сметанино;Smetanino;Сметанино;543;Вологодская Область;36;Россия;Верховажский
Снежногорск;Snezhnogorsk;Снежногорск;545;Мурманская Область;52;Россия;
СОВЕТСКИЙ;Sovetskiy;Советский;547;Ханты-Мансийский АО - Югра Автономный округ;82;Россия;
Сокол;Sokol;Сокол;548;Вологодская Область;36;Россия;Сокольский
Солигалич;Soligalich;Солигалич;549;Костромская Область;45;Россия;
Солманское;Solmanskoe;Солманское;550;Волгоградская Область;35;Россия;
Сольвычегодск;Solvychegodsk;Сольвычегодск;553;Архангельская Область;30;Россия;
Сортавала;Sortavala;Сортавала;554;Карелия Республика;11;Россия;
Сосновка;Sosnovka;Сосновка;555;Вологодская Область;36;Россия;Вологодский
Сосновка / Олимп;Sosnovka;Сосновка;555;Вологодская Область;36;Россия;Вологодский
Сосновка / СШ ОЛИМП;Sosnovka;Сосновка;555;Вологодская Область;36;Россия;Вологодский
Сосновское ТУ;Sosnovka;Сосновка;555;Вологодская Область;36;Россия;Вологодский
Сосновый Бор;Sosnovyy Bor;Сосновый Бор;556;Ленинградская Область;48;Россия;
Софрино-1;Sofrino;Софрино;558;Московская Область;51;Россия;
Софрино-1, московской обл.;Sofrino;Софрино;558;Московская область;0;Россия;
Сочи;Sochi;Сочи;559;Краснодарский Край;24;Россия;
Спасское;Spasskoe;Спасское;560;Вологодская Область;36;Россия;Вологодский
